Stat Var,Queries,,,,,,
PrecipitationRate,What is the precipitation rate in $Location,What is the monthly rainfall in $Location,Precipitation level in $Location,How much does it rain in $Location,,,
Max_Temperature,max temperature in $Location,what is the maximum temperature in $Location,How hot does it get in $Location,Hottest day in $Locaiton,,,
Min_Temperature,min temperature in $Location,what is the minimum temperature in $Location,how cold does it get in $Location,Coldest day in $Location,,,
WetBulbTemperature_RCP45_MaxRelativeHumidity,,,,,,,
NumberOfMonths_WetBulbTemperature_35COrMore_RCP85_MaxRelativeHumidity,,,,,,,
WetBulbTemperature_RCP45_MeanRelativeHumidity,,,,,,,
NumberOfMonths_WetBulbTemperature_35COrMore_RCP85_MeanRelativeHumidity,,,,,,,
WetBulbTemperature_RCP85_MinRelativeHumidity,,,,,,,
NumberOfMonths_WetBulbTemperature_35COrMore_RCP45_MinRelativeHumidity,,,,,,,
Count_HeavyWindEvent,Number of high wind events in $Location,Heavy wind events in $Location,strong winds in $Location,How many times was $Location affected by heavy wind,,,
Count_HighSnowEvent,Number of events with high snow at $Location,Number of times of heavy snowfall in $Location,Count of high snowfall occurrences at $Location,How many times did $Location receive heavy snow,,,
Count_TropicalStormEvent,Number of Tropical storms at $Location,Count of tropical storms seen at $Location,Tropical storms hitting $Location,How many storms hit $Location,,,
Count_HurricaneEvent,Number of hurricanes at $Location,Count of hurricanes that hit $Location,Number of hurricanes seen at $Location,How many hurricanes hit $Location,,,
Count_HeatEvent,Number of heat events at $Location,Count of hot days in $Location,Number of hot days in $Location,How many times did $Location have high heat,,,
Count_WildfireEvent,Number of wildfires at $Location,Count of wildfires in $Location,count of wildfires hitting $Location,How many wildfires seen at $Location,,,
Count_WinterStormEvent,Number of winter storms at $Location,Count of winter storms seen in $Location,Number of times $location was affected by winder storms,How many winter storms did $Location face,,,
Count_BlizzardEvent,Number of blizzards at $Locations,Count of blizzards seen at $Location,Number of blizzards seen at $Location,,,,
